Username,Tag,Timestamp,URL,Content,Image URLs,Video URLs
KolkataKnightRiders,"Cricket, IPL",2025-02-27T05:34:43.000Z,https://x.com/KKRiders,"𝐕𝐢𝐤𝐫𝐚𝐦 𝐒𝐨𝐥𝐚𝐫 — 𝐬𝐡𝐢𝐧𝐢𝐧𝐠 𝐛𝐫𝐢𝐠𝐡𝐭𝐞𝐫 𝐰𝐢𝐭𝐡 𝐊𝐊𝐑! 

We’re excited to welcome 
@VikramSolar
 as our Associate Partner for IPL 2025. Get ready for an energy-packed season!",null,null
KolkataKnightRiders,"Cricket, IPL",2021-10-13T17:44:19.000Z,https://x.com/KKRiders,RAHUUUUUUUULLLLL TRIPATHIIIIIIIIIIIIIIII!!!!!!!!!!!!,null,null
KolkataKnightRiders,"Cricket, IPL",2022-04-06T17:31:02.000Z,https://x.com/KKRiders,"PAT CUMMINS SUPREMACY TWEET!
Drop in a  for 
@patcummins30
 

#KKRHaiTaiyaar #KKRvMI #IPL2022",null,null
KolkataKnightRiders,"Cricket, IPL",2024-04-02T05:35:06.000Z,https://x.com/KKRiders,"""I still haven't washed my dirty jersey."" 

2011. Wankhede. Walked in at 0-1. Chasing 275. Scored 97. 
Stood tall in a 112-runs partnership with MSD to set up the final for India.",https://pbs.twimg.com/media/GKIwLxKWEAADYAJ?format=jpg&name=900x900,null
KolkataKnightRiders,"Cricket, IPL",2024-09-27T04:41:40.000Z,https://x.com/KKRiders,"Say hello to our new Mentor, DJ 'sir champion' Bravo! 

Welcome to the City of Champions!",https://pbs.twimg.com/media/GYdO9CmbQAEKLXj?format=jpg&name=900x900,null
KolkataKnightRiders,"Cricket, IPL",2021-10-15T17:14:10.000Z,https://x.com/KKRiders,,null,null
zulkarnainsaer,Bangladesh,2024-09-18T15:06:27.000Z,https://x.com/zulkarnainsaer,"Our investigation into the #MinistersMillions uncovers how a powerful Bangladesh politician built a half billion dollar property empire.

See inside Saifuzzaman Chowdhury's $14m London home, where he reveals his hidden wealth to our hidden cameras.
Watch: http://aje.io/MinistersMillions…",null,
Timesofgaza,Palestine,2023-10-12T17:16:11.000Z,https://x.com/Timesofgaza,"Palestinian journalist plays with a little baby boy who survived an lsraeli airstrike, Gaza.",null,
Timesofgaza,Palestine,2023-10-21T07:52:41.000Z,https://x.com/Timesofgaza,Scared dog shakes and refuses to eat after an lsraeli air strike on Gaza.,null,
muftimenk,"Islam, religion",2025-02-21T15:00:47.000Z,https://x.com/muftimenk,"Try this! with Ramadan just a few days away you can join Team Menk and automate your charity to a number of different causes! 

Sign-up now. Bismillah.
http://Launchgood.com/teammenk",null,
muftimenk,"Islam, religion",2021-05-14T00:59:27.000Z,https://x.com/muftimenk,"Almighty. It’s been a difficult period for all. Even as we celebrate #Eid our hearts are breaking seeing the oppression going on. But in all this we lay our complete trust in You. Protect those most at risk, the elderly, women & children. Comfort those who have lost loved ones.",null,null
muftimenk,"Islam, religion",2021-02-03T09:35:16.000Z,https://x.com/muftimenk,Life is too short. Live it with passion and purpose. Don’t let anger control you. Don’t let hate breed in your heart. Don’t let negativity be the order of your day. Keep your heart guided in the right direction. Seek the Almighty’s help constantly to purify your heart!,null,null
muftimenk,"Islam, religion",2022-10-19T03:33:35.000Z,https://x.com/muftimenk,Don’t make the mistake of telling someone too much about yourself. Oversharing is bad. It can invite negative energy and vibes from those who don’t want good for you. Share only with those who have proven they truly care.,null,null
muftimenk,"Islam, religion",2021-08-16T22:38:18.000Z,https://x.com/muftimenk,"Whatever you do, don’t hurt others. When you try to hurt those who hurt you, you’re only hurting yourself. Because it’s not in your character to act in an ugly manner. What you need to do is forgive and move on. Easier said than done for most. But only good can overcome evil.",null,null
muftimenk,"Islam, religion",2021-12-27T04:26:55.000Z,https://x.com/muftimenk,Do yourself a favour. Protect your mind from overthinking. It’s a disability which serves no purpose. You need to protect your own thoughts. There’s nothing in this world that can trouble you more than your own thoughts.,null,null
muftimenk,"Islam, religion",2021-03-09T21:15:39.000Z,https://x.com/muftimenk,Be careful how you treat people. The tables always turn. The Almighty will see to it. Be careful who you ignore when you’re at the top. Some choose to treat people any which way that pleases them. Don’t! It will come back to you. You’ll be made to eat humble pie sooner or later!,null,null
muftimenk,"Islam, religion",2020-10-19T19:16:20.000Z,https://x.com/muftimenk,"Stop comparing. Start cherishing what you have before it’s taken away from you. Gratitude is key. Be hopeful about what’s coming. Always believe that the Almighty wants good for us. He has blessed us with so much, more than we’ve asked for. Move forward with prayer & firm faith!",null,null
muftimenk,"Islam, religion",2024-05-28T07:51:23.000Z,https://x.com/muftimenk,"The worst genocide of our lifetime is happening right now. By massacring tens of thousands, injuring hundreds of thousands and beheading babies, what are you trying to achieve? Calling it a tragic mishap is pathetic! If anything, it's a sign that you've lost. Lost your humanity.",null,null
muftimenk,"Islam, religion",2023-03-22T16:40:49.000Z,https://x.com/muftimenk,I wish every one the most blessed and spiritually uplifting  #Ramadan . May the Almighty keep us steadfast and grant us the best month. Aameen,null,null
zulkarnainsaer,Bangladesh,2024-07-16T15:50:24.000Z,https://x.com/zulkarnainsaer,This is what happens when the students are agitated.,https://pbs.twimg.com/media/GSnr9UAW8AAB_6X?format=jpg&name=900x900,null
KolkataKnightRiders,"Cricket, IPL",2024-06-29T21:12:58.000Z,https://x.com/KKRiders,End of an era,https://pbs.twimg.com/media/GRRSwo_WwAAu0k8?format=jpg&name=900x900,null
muftimenk,"Islam, religion",2018-12-01T00:29:58.000Z,https://x.com/muftimenk,"At times, we condemn good people because we disagree with them over a few issues. We refuse to see the good they’re doing. Disagreements do not automatically make a person extreme, bad or evil. Learn to distinguish between the one who respectfully disagrees & the one who is evil!",null,null
muftimenk,"Islam, religion",2022-11-03T12:14:05.000Z,https://x.com/muftimenk,"Shocked and  saddened by news that Pakistan’s former Prime Minister Imran Khan was injured following a shooting incident. I wish him well and a speedy recovery. Violence in all forms is totally wrong and unacceptable, no matter what our differences may be. #imrankhaninjured",null,null
